No,분류,분류,분류,분류,2020년,2020년,2020년,2021년,2021년,2021년
No,분류,분류,분류,분류,발생량,발생량,발생량,발생량,발생량,발생량
No,분류,분류,분류,분류,톤/년,톤/년,%,톤/년,톤/년,%
No,분류,분류,분류,분류,원자료,전기대비증감,전기대비증감률,원자료,전기대비증감,전기대비증감률
622,전남,재활용 가능자원 분리배출,폐전지류,폐전지류,122.7,0,0,125,2.3,1.9
623,전남,재활용 가능자원 분리배출,영농폐기물,농약용기류,364.9,0,0,"1,218.9",854,234
624,전남,재활용 가능자원 분리배출,영농폐기물,폐비닐,"28,297.9",0,0,"35,025.3","6,727.4",23.8
625,전남,재활용 가능자원 분리배출,폐식용유,폐식용유,27,0,0,26,-1,-3.7
626,전남,재활용 가능자원 분리배출,폐전기전자제품,폐전기전자제품,"3,411",0,0,"2,646.9",-764.1,-22.4
627,전남,재활용 가능자원 분리배출,폐가구류,폐가구류,117.5,0,0,"4,659.8","4,542.3","3,865.8"
628,전남,재활용 가능자원 분리배출,기타,기타,"15,049.5",0,0,652.7,"-14,396.8",-95.7
629,전남,재활용 가능자원 분리배출,재활용 잔재물,재활용 잔재물,"8,816.7",0,0,"10,143.2","1,326.5",15
630,전남,음식물류 폐기물 분리배출,음식물류 폐기물 분리배출,음식물류 폐기물 분리배출,"193,935.5",0,0,"196,133.9","2,198.4",1.1
631,경북,합계,합계,합계,"903,107.9",0,0,"968,655.9","65,548",7.3
632,경북,종량제방식 등 혼합배출,소계,소계,"570,302.7",0,0,"598,750.4","28,447.7",5
633,경북,종량제방식 등 혼합배출,가연성,소계,"481,027.7",0,0,"436,173.2","-44,854.5",-9.3
634,경북,종량제방식 등 혼합배출,가연성,폐지류,"125,295.4",0,0,"126,099.9",804.5,0.6
635,경북,종량제방식 등 혼합배출,가연성,폐합성수지류,"126,873.2",0,0,"127,672.1",798.9,0.6
636,경북,종량제방식 등 혼합배출,가연성,폐고무류,"7,332.8",0,0,"8,012.1",679.3,9.3
637,경북,종량제방식 등 혼합배출,가연성,폐섬유류,"24,764.1",0,0,"20,116.9","-4,647.2",-18.8
638,경북,종량제방식 등 혼합배출,가연성,음식물류 폐기물,"34,820.9",0,0,"27,772.5","-7,048.4",-20.2
639,경북,종량제방식 등 혼합배출,가연성,폐목재류,"30,612.6",0,0,"41,652.2","11,039.6",36.1
640,경북,종량제방식 등 혼합배출,가연성,기타,"131,328.7",0,0,"84,847.5","-46,481.2",-35.4
641,경북,종량제방식 등 혼합배출,불연성,소계,"67,055",0,0,"140,181.7","73,126.7",109.1
642,경북,종량제방식 등 혼합배출,불연성,폐금속류,"10,383",0,0,"28,167.1","17,784.1",171.3
643,경북,종량제방식 등 혼합배출,불연성,폐유리류,"16,773.4",0,0,"36,998","20,224.6",120.6
644,경북,종량제방식 등 혼합배출,불연성,폐토사류,"8,266.2",0,0,"22,958.2","14,692",177.7
645,경북,종량제방식 등 혼합배출,불연성,폐타일 및 도자기류,"3,224.1",0,0,"3,801.9",577.8,17.9
646,경북,종량제방식 등 혼합배출,불연성,연탄재,"2,869.7",0,0,"5,858.3","2,988.6",104.1
647,경북,종량제방식 등 혼합배출,불연성,기타,"25,538.6",0,0,"42,398.2","16,859.6",66
648,경북,종량제방식 등 혼합배출,건설폐재류,건설폐재류(공사장생활폐기물),"14,247.4",0,0,"9,623.6","-4,623.8",-32.5
649,경북,종량제방식 등 혼합배출,기타(배출불명등),기타(배출불명등),"7,972.6",0,0,"12,771.9","4,799.3",60.2
650,경북,재활용 가능자원 분리배출,소계,소계,"108,748.2",0,0,"132,212.2","23,464",21.6
651,경북,재활용 가능자원 분리배출,폐지류,종이팩,701.1,0,0,292.8,-408.3,-58.2
652,경북,재활용 가능자원 분리배출,폐지류,기타,"20,241",0,0,"27,032.1","6,791.1",33.6
653,경북,재활용 가능자원 분리배출,고철류,고철류,"2,405.5",0,0,"2,118.3",-287.2,-11.9
654,경북,재활용 가능자원 분리배출,금속캔,금속캔,"2,085.1",0,0,"2,528.6",443.5,21.3
655,경북,재활용 가능자원 분리배출,폐합성수지류,비닐류,"2,414.1",0,0,"2,193.4",-220.7,-9.1
656,경북,재활용 가능자원 분리배출,폐합성수지류,발포수지류,"1,174.1",0,0,"1,372.7",198.6,16.9
657,경북,재활용 가능자원 분리배출,폐합성수지류,PET병,"8,962.5",0,0,"7,958.1","-1,004.4",-11.2
658,경북,재활용 가능자원 분리배출,폐합성수지류,기타,"6,699.7",0,0,"7,850.5","1,150.8",17.2
659,경북,재활용 가능자원 분리배출,폐고무류,폐고무류,9.4,0,0,121.9,112.5,"1,196.8"
660,경북,재활용 가능자원 분리배출,폐유리병류,폐유리병류,"9,018.3",0,0,"9,287.4",269.1,3
661,경북,재활용 가능자원 분리배출,폐의류,폐의류,552,0,0,"2,640.7","2,088.7",378.4
662,경북,재활용 가능자원 분리배출,폐섬유류,폐섬유류,0,0,0,"1,494.9",0,0
663,경북,재활용 가능자원 분리배출,조명폐기물,조명폐기물,195.9,0,0,145,-50.9,-26
664,경북,재활용 가능자원 분리배출,폐전지류,폐전지류,227.4,0,0,145.8,-81.6,-35.9
665,경북,재활용 가능자원 분리배출,영농폐기물,농약용기류,456.1,0,0,862.3,406.2,89.1
666,경북,재활용 가능자원 분리배출,영농폐기물,폐비닐,"22,943.3",0,0,"37,158.2","14,214.9",62
667,경북,재활용 가능자원 분리배출,폐식용유,폐식용유,13.5,0,0,13.7,0.2,1.5
668,경북,재활용 가능자원 분리배출,폐전기전자제품,폐전기전자제품,"4,855.4",0,0,"4,611.2",-244.2,-5
669,경북,재활용 가능자원 분리배출,폐가구류,폐가구류,"2,525.2",0,0,"2,429.8",-95.4,-3.8
670,경북,재활용 가능자원 분리배출,기타,기타,868.7,0,0,"2,825.5","1,956.8",225.3
671,경북,재활용 가능자원 분리배출,재활용 잔재물,재활용 잔재물,"22,399.9",0,0,"19,129.3","-3,270.6",-14.6
672,경북,음식물류 폐기물 분리배출,음식물류 폐기물 분리배출,음식물류 폐기물 분리배출,"224,057",0,0,"237,693.3","13,636.3",6.1
673,경남,합계,합계,합계,"1,270,196.9",0,0,"1,224,390.6","-45,806.3",-3.6
674,경남,종량제방식 등 혼합배출,소계,소계,"607,891.1",0,0,"580,754","-27,137.1",-4.5
675,경남,종량제방식 등 혼합배출,가연성,소계,"473,850.5",0,0,"453,706","-20,144.5",-4.3
676,경남,종량제방식 등 혼합배출,가연성,폐지류,"104,618.3",0,0,"153,666","49,047.7",46.9
